gameId,platformId,gameCreation,gameDuration,queueId,mapId,seasonId,gameVersion,gameMode,gameType,team0-teamId,team0-win,team0-firstBlood,team0-firstTower,team0-firstInhibitor,team0-firstBaron,team0-firstDragon,team0-firstRiftHerald,team0-towerKills,team0-inhibitorKills,team0-baronKills,team0-dragonKills,team0-vilemawKills,team0-riftHeraldKills,team0-dominionVictoryScore,team0-ban-0-championId,team0-ban-1-championId,team0-ban-2-championId,team0-ban-3-championId,team0-ban-4-championId,team1-teamId,team1-win,team1-firstBlood,team1-firstTower,team1-firstInhibitor,team1-firstBaron,team1-firstDragon,team1-firstRiftHerald,team1-towerKills,team1-inhibitorKills,team1-baronKills,team1-dragonKills,team1-vilemawKills,team1-riftHeraldKills,team1-dominionVictoryScore,team1-ban-0-championId,team1-ban-1-championId,team1-ban-2-championId,team1-ban-3-championId,team1-ban-4-championId
3143242269,NA1,1567767333094,916,420,11,13,9.17.287.2485,CLASSIC,MATCHED_GAME,100,Win,true,true,false,false,true,false,5,0,0,1,0,0,0,8,157,111,92,85,200,Fail,false,false,false,false,false,false,0,0,0,0,0,0,0,11,91,119,24,555
3129438357,NA1,1566357429922,1121,420,11,13,9.16.284.8446,CLASSIC,MATCHED_GAME,100,Win,true,false,false,false,true,false,4,0,0,2,0,0,0,119,245,421,111,122,200,Fail,false,true,false,false,false,true,1,0,0,0,0,1,0,105,30,517,67,28
3143235249,NA1,1567760023980,1779,420,11,13,9.17.287.2485,CLASSIC,MATCHED_GAME,100,Fail,false,false,false,false,false,false,2,0,0,0,0,0,0,84,91,555,119,41,200,Win,true,true,true,true,true,true,10,3,2,4,0,1,0,89,10,-1,120,83
3144340464,NA1,1567879800751,1364,420,11,13,9.17.287.2485,CLASSIC,MATCHED_GAME,100,Win,true,true,true,true,false,true,8,1,1,1,0,1,0,25,119,24,91,122,200,Fail,false,false,false,false,true,false,2,0,0,2,0,0,0,28,222,84,420,122
3143251179,NA1,1567766730048,194,420,11,13,9.17.287.2485,CLASSIC,MATCHED_GAME,100,Fail,true,false,false,false,false,false,0,0,0,0,0,0,0,122,157,141,82,412,200,Win,false,false,false,false,false,false,0,0,0,0,0,0,0,131,119,91,23,25
3144346168,NA1,1567881573606,1533,420,11,13,9.17.287.2485,CLASSIC,MATCHED_GAME,100,Win,false,true,true,false,true,true,10,2,0,3,0,1,0,11,68,91,119,266,200,Fail,true,false,false,false,false,false,0,0,0,0,0,0,0,120,517,20,51,350
3144401553,NA1,1567885958890,1116,420,11,13,9.17.287.2485,CLASSIC,MATCHED_GAME,100,Fail,true,false,false,false,false,false,1,0,0,0,0,0,0,91,8,119,238,25,200,Win,false,true,true,false,true,true,9,1,0,2,0,1,0,89,555,25,80,266
3144363131,NA1,1567883527117,1985,420,11,13,9.17.287.2485,CLASSIC,MATCHED_GAME,100,Fail,false,false,true,true,true,true,8,1,1,3,0,1,0,8,84,82,157,107,200,Win,true,true,false,false,false,false,9,2,1,1,0,0,0,68,91,119,266,60
3148403651,NA1,1568336824802,202,420,11,13,9.18.288.7871,CLASSIC,MATCHED_GAME,100,Win,true,false,false,false,false,false,0,0,0,0,0,0,0,82,91,119,25,120,200,Fail,false,false,false,false,false,false,0,0,0,0,0,0,0,350,555,20,157,240
3148369132,NA1,1568333630143,1681,420,11,13,9.18.288.7871,CLASSIC,MATCHED_GAME,100,Win,false,true,true,true,true,true,9,3,1,4,0,1,0,55,38,25,58,157,200,Fail,true,false,false,false,false,false,2,0,0,0,0,0,0,203,555,24,119,91
3148407404,NA1,1568337582648,1297,420,11,13,9.18.288.7871,CLASSIC,MATCHED_GAME,100,Win,true,true,true,false,true,true,9,2,0,2,0,1,0,246,91,119,420,15,200,Fail,false,false,false,false,false,false,0,0,0,0,0,0,0,517,122,142,555,245
3148787311,NA1,1568390456911,1435,420,11,13,9.18.288.7871,CLASSIC,MATCHED_GAME,100,Fail,false,false,false,false,true,false,1,0,0,1,0,0,0,141,203,120,498,119,200,Win,true,true,true,false,false,true,7,1,0,2,0,1,0,58,119,91,51,64
3148813564,NA1,1568394455383,1241,420,11,13,9.18.288.7871,CLASSIC,MATCHED_GAME,100,Fail,true,false,false,false,false,false,0,0,0,0,0,0,0,121,145,51,517,412,200,Win,false,true,true,false,true,true,10,2,0,2,0,1,0,245,119,80,91,157
3148820529,NA1,1568398035183,1400,420,11,13,9.18.288.7871,CLASSIC,MATCHED_GAME,100,Fail,true,false,false,false,true,true,0,0,0,2,0,1,0,121,44,5,122,245,200,Win,false,true,true,true,false,false,11,4,1,1,0,0,0,51,119,75,91,240
3143240476,NA1,1567764927504,1344,420,11,13,9.17.287.2485,CLASSIC,MATCHED_GAME,100,Win,true,true,true,true,true,true,9,2,1,3,0,1,0,82,23,119,84,91,200,Fail,false,false,false,false,false,false,0,0,0,0,0,0,0,35,120,350,420,555
3148816473,NA1,1568396099383,1445,420,11,13,9.18.288.7871,CLASSIC,MATCHED_GAME,100,Win,true,true,true,false,false,true,9,1,0,2,0,1,0,51,498,122,91,412,200,Fail,false,false,false,false,true,false,1,0,0,1,0,0,0,62,266,157,25,122
3151276830,NA1,1568655793300,1570,420,11,13,9.18.288.7871,CLASSIC,MATCHED_GAME,100,Win,true,true,true,true,true,true,10,2,1,4,0,1,0,555,119,157,122,246,200,Fail,false,false,false,false,false,false,0,0,0,0,0,0,0,350,25,157,555,119
3151315543,NA1,1568660448867,1363,420,11,13,9.18.288.7871,CLASSIC,MATCHED_GAME,100,Win,true,true,true,false,true,true,8,1,0,3,0,1,0,24,91,350,119,122,200,Fail,false,false,false,false,false,false,0,0,0,0,0,0,0,84,-1,8,555,36
3153468372,NA1,1568926045913,1332,420,11,13,9.18.289.6958,CLASSIC,MATCHED_GAME,100,Fail,false,false,false,false,true,false,0,0,0,2,0,0,0,555,21,105,240,107,200,Win,true,true,true,false,false,true,9,2,0,0,0,1,0,24,119,25,91,20
3153447059,NA1,1568921526530,1844,420,11,13,9.18.289.6958,CLASSIC,MATCHED_GAME,100,Fail,false,true,false,false,false,false,4,0,0,1,0,0,0,119,91,11,8,122,200,Win,true,false,true,true,true,true,9,2,1,3,0,1,0,8,238,54,555,350
3151320260,NA1,1568657831913,1926,420,11,13,9.18.288.7871,CLASSIC,MATCHED_GAME,100,Win,true,false,false,false,false,true,9,1,0,2,0,1,0,421,24,119,555,157,200,Fail,false,true,true,true,true,false,7,2,2,3,0,0,0,350,157,266,25,8
3153481492,NA1,1568923861706,1822,420,11,13,9.18.289.6958,CLASSIC,MATCHED_GAME,100,Win,false,true,true,false,false,false,7,1,0,2,0,0,0,555,350,119,-1,91,200,Fail,true,false,false,false,true,true,2,0,0,2,0,1,0,38,51,246,266,120
3153597893,NA1,1568935494321,1344,420,11,13,9.18.289.6958,CLASSIC,MATCHED_GAME,100,Fail,false,false,false,false,false,false,0,0,0,0,0,0,0,51,157,245,238,122,200,Win,true,true,true,true,true,true,9,2,1,2,0,1,0,119,91,80,141,114
3137520591,NA1,1567138562288,1531,420,11,13,9.17.287.2485,CLASSIC,MATCHED_GAME,100,Fail,true,false,false,false,false,true,3,0,0,0,0,1,0,421,238,39,119,350,200,Win,false,true,true,true,true,false,8,1,1,3,0,0,0,11,86,145,53,40
3153735903,NA1,1568937522367,1470,420,11,13,9.18.289.6958,CLASSIC,MATCHED_GAME,100,Fail,true,false,false,false,false,false,1,0,0,0,0,0,0,53,119,91,104,266,200,Win,false,true,true,true,true,true,10,2,1,2,0,1,0,41,555,91,53,121
