platformId,accountId,summonerName,summonerId,currentPlatformId,currentAccountId,matchHistoryUri,profileIcon,participantId,teamId,championId,spell1Id,spell2Id,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas-0-10,creepsPerMinDeltas-10-20,xpPerMinDeltas-0-10,xpPerMinDeltas-10-20,goldPerMinDeltas-0-10,goldPerMinDeltas-10-20,csDiffPerMinDeltas-0-10,csDiffPerMinDeltas-10-20,xpDiffPerMinDeltas-0-10,xpDiffPerMinDeltas-10-20,damageTakenPerMinDeltas-0-10,damageTakenPerMinDeltas-10-20,damageTakenDiffPerMinDeltas-0-10,damageTakenDiffPerMinDeltas-10-20,role,lane,championName,championRole,gameId
NA1,JgWpvzs2G-PbWqc99XOOTwbRsxBcb4vHjFCLvlHuu1gsgBo,weAREtheCHAMPION,4j-jPaXDQT5fsn_X-UVCqKEmipkqwV_SFt84pEQvR8F3fH0,NA1,JgWpvzs2G-PbWqc99XOOTwbRsxBcb4vHjFCLvlHuu1gsgBo,/v1/stats/player_history/NA1/240180637,4248,7,200,114,12,4,false,3077,3047,1053,1055,0,0,3340,0,7,2,0,0,0,561,0,0,0,0,0,38734,703,34729,3302,264,3686,373,2850,462,784,1,10574,2120,1322,18,5,13070,564,11535,969,5293,4100,0,0,95,0,0,0,46,11,4,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,35,11,39,9111,52,40,0,9104,0,0,0,8014,17,0,0,8453,260,0,0,8446,273,0,0,8000,8400,5005,5008,5002,false,false,false,false,false,false,5.5,3.6,405.2,320.79999999999995,235.5,205.2,NA,NA,NA,NA,237.79999999999998,687.5,NA,NA,SOLO,TOP,Fiora,Fighter,3207868365
NA,qlz40FPY9YzfzSmjDm69bQt0P-UuUe3beLAOdDO-dv219w,Lee Ji Eun,VyZ7Jow2qz_-RBAi186JjJvP8oCpiHu2GPdsnFJiveULtwo,NA1,qlz40FPY9YzfzSmjDm69bQt0P-UuUe3beLAOdDO-dv219w,/v1/stats/player_history/NA/38552326,4379,8,200,13,12,4,false,2031,3111,3800,3070,3802,0,3363,3,6,3,3,2,1,379,1,0,0,0,0,88398,81132,7266,0,0,9858,9485,373,0,2138,1,8091,1025,1025,20,1,14681,1919,11213,1548,7204,6400,0,0,128,14,14,0,44,12,3,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,10,0,0,8226,250,862,0,8210,0,0,0,8232,2,10,0,8139,346,0,0,8135,1945,3,0,8200,8100,5007,5008,5002,false,false,false,false,false,false,7,5,388.70000000000005,421.9,246.6,374,NA,NA,NA,NA,270.5,857.9000000000001,NA,NA,SOLO,MIDDLE,Ryze,Mage,3207868365
NA1,mXtSMb9vUiPCHcHK0uyyvJ1TSKKUC4_L1xncg12gYNKb9Uc,jolol,r0GeDGYDQDtjcrFzC9amnYgpMCgUq5DL13bdMbmSTJSN5i0,NA1,mXtSMb9vUiPCHcHK0uyyvJ1TSKKUC4_L1xncg12gYNKb9Uc,/v1/stats/player_history/NA1/203038791,3780,10,200,67,4,7,false,2031,3153,3006,3124,0,0,3340,2,3,6,0,1,0,540,0,0,0,0,0,79998,2674,64810,12513,0,11279,773,8851,1654,1954,3,6154,2588,483,10,7,14230,2383,11031,814,7945,7425,0,0,160,4,4,0,83,11,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,929,629,300,9111,354,160,0,9104,12,50,0,8014,162,0,0,8304,10,3,0,8347,0,0,0,8000,8300,5005,5008,5002,false,false,false,false,false,false,6.5,8.899999999999999,315.1,420.7,264,431.5,NA,NA,NA,NA,279.3,708.3,NA,NA,DUO_CARRY,BOTTOM,Vayne,Marksman,3207868365
NA1,xsoM9KwMk9t6orrrQMoEXadl01VrNx0Wj08L4ytQ-EwhHso, Lady Wang,yhrImMr2K78kUVzW-BRUPY9LNY5b9VzAH8FtSiNMSfVPixE,NA1,xsoM9KwMk9t6orrrQMoEXadl01VrNx0Wj08L4ytQ-EwhHso,/v1/stats/player_history/NA1/210547923,4361,9,200,267,4,14,false,3098,3107,1004,3028,3117,1004,3364,3,6,6,3,2,1,539,1,0,0,0,0,8734,3688,3578,1467,0,4815,3411,771,633,4428,7,5723,258,148,27,18,10519,1260,8788,470,5552,5150,0,0,4,0,0,0,70,9,2,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,1371,0,0,8446,0,0,0,8473,368,0,0,8242,7,0,0,8275,3,0,0,8234,5951,0,0,8400,8200,5008,5008,5002,false,false,false,false,false,false,0.1,0.30000000000000004,217.8,278.7,245.5,212.3,NA,NA,NA,NA,299.9,447.7,NA,NA,DUO_SUPPORT,BOTTOM,Nami,Support,3207868365
NA1,BZ2D82jBWh4msGy5JeQFZUcsJgL29fZDYbGcvV69o9M1tY0,I Mastered Yi,K7RLGMBxE88wzydxF6rUnQ6uOiTZzPrxbykc6sZ9VIBujUE,NA1,BZ2D82jBWh4msGy5JeQFZUcsJgL29fZDYbGcvV69o9M1tY0,/v1/stats/player_history/NA1/237571207,3551,2,100,11,11,4,true,1419,1028,3140,3111,3124,3082,3364,18,4,3,8,4,4,177,3,2,1,0,0,96379,4216,83136,9027,0,17068,355,12568,4144,5253,1,7939,10454,2988,9,4,12843,3074,9449,319,11950,9675,1,0,52,79,33,25,146,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,663,225,541,9111,783,420,0,9105,7,30,0,8014,467,0,0,8138,18,0,0,8135,2291,5,0,8000,8100,5005,5008,5002,false,false,false,false,NA,NA,2.3,NA,389,NA,581.8,NA,-0.6599999999999997,NA,-14.23999999999998,NA,816.5999999999999,NA,-42.26000000000002,NA,DUO_SUPPORT,NONE,MasterYi,Assassin,3207778936
NA1,qEzex6Vxv8H_P9C4whfNQxcZ379mjQzl__e4rcZIhVDxQNM,KQNK,rJznku8-qWC5N3bKZWc3IO2n7wxk6yhiApxCrC6qqEVQeAY,NA1,qEzex6Vxv8H_P9C4whfNQxcZ379mjQzl__e4rcZIhVDxQNM,/v1/stats/player_history/NA1/235779570,3611,1,100,80,4,12,true,2033,3071,3047,0,0,2055,3340,1,4,2,0,1,0,246,0,0,0,0,0,57121,244,51010,5866,0,2870,244,2540,86,879,1,3840,740,740,8,10,6993,1098,5184,710,5363,4675,1,0,93,8,4,0,142,10,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,86,28,62,9111,0,60,0,9104,0,0,0,8014,86,0,0,8345,3,0,0,8352,146,862,535,8000,8300,5008,5008,5002,false,false,false,false,NA,NA,4.6,NA,320.5,NA,208.60000000000002,NA,-0.6599999999999997,NA,-14.23999999999998,NA,496.90000000000003,NA,-42.26000000000002,NA,DUO_SUPPORT,NONE,Pantheon,Fighter,3207778936
NA1,uIoH62_cKtcEBnFM6WDVpUjWnoDxRcSKqGRxfk5KG2NeHMmfULtCxWLS,iiiiilliiiiiil,xbSR1X9HtiWZG0DPwWRhclozGyJp389X0BDz3xdfR-w43s0g,NA1,uIoH62_cKtcEBnFM6WDVpUjWnoDxRcSKqGRxfk5KG2NeHMmfULtCxWLS,/v1/stats/player_history/NA1/2316056134142400,7,3,100,44,7,3,true,3097,3111,3050,1028,0,0,3340,0,3,17,0,0,0,345,0,0,0,0,0,28277,9600,10765,7910,0,2713,1689,1024,0,4927,5,8160,8694,1458,13,11,8156,2941,4849,364,5857,4850,0,0,33,0,0,0,66,9,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,662,0,0,8463,301,0,0,8473,225,0,0,8453,463,325,0,8009,1991,107,0,9104,9,30,0,8400,8000,5007,5002,5002,false,false,false,false,NA,NA,2.6,NA,357.5,NA,297.2,NA,-0.6599999999999997,NA,-14.23999999999998,NA,410.8,NA,-42.26000000000002,NA,DUO_SUPPORT,NONE,Taric,Support,3207778936
NA,6kKhKJsDpj1Yj5YaarHprO1V3zGdW2Gtzfza6H8Z02bNvw,DRX DEFT,6Pp5YLysI4aHpkPXLkur1OJ6ta8b-3VOKefzz6X5iexARpI,NA1,6kKhKJsDpj1Yj5YaarHprO1V3zGdW2Gtzfza6H8Z02bNvw,/v1/stats/player_history/NA/40035481,4398,4,100,236,7,4,true,3153,3133,1033,3006,0,1055,3340,5,1,3,4,1,1,580,0,0,0,0,0,66929,2624,64305,0,0,6987,674,6313,0,766,2,2066,7061,6720,9,1,5098,637,4450,10,7600,6375,1,0,128,0,0,0,10,10,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,587,404,182,9111,166,160,0,9103,0,0,0,8014,233,0,0,8304,8,1,5,8345,3,0,0,8000,8300,5005,5008,5002,false,false,false,false,NA,NA,6.6,NA,309.8,NA,397.3,NA,-0.6599999999999997,NA,-14.23999999999998,NA,432.90000000000003,NA,-42.26000000000002,NA,DUO,NONE,Lucian,Marksman,3207778936
NA1,YsRl1BFaJLCzHedWuas1Mu7sybXSMuFM-ootqTMjJJwQboU,Mobicane,-vZMrcmJj70Yxcr2HGY85S_5BsNqvV6D4ieGJqvfk4t3Z4E,NA1,YsRl1BFaJLCzHedWuas1Mu7sybXSMuFM-ootqTMjJJwQboU,/v1/stats/player_history/NA1/237185019,20,5,100,50,14,4,true,1028,3098,3157,3020,2003,0,3364,4,1,10,4,1,1,83,0,0,0,0,0,30344,22286,4222,3836,0,7786,6314,796,675,1962,1,2719,2088,2088,26,28,7008,1532,4949,526,7194,5275,0,0,29,0,0,0,129,10,1,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,572,0,0,8126,326,0,0,8136,2,4,0,8105,16,5,0,8313,0,0,0,8345,3,0,0,8100,8300,5008,5002,5003,false,false,false,false,NA,NA,0.2,NA,302.4,NA,343.9,NA,-0.6599999999999997,NA,-14.23999999999998,NA,349,NA,-42.26000000000002,NA,DUO_SUPPORT,NONE,Swain,Mage,3207778936
NA,ThPzv8oW-vf7IuvvO4NcMupc2xMudFkyyRVCVcV3jNGgoA,iSup3r,17V46186ZdLM5Z27TXUeHNL_xuEDtODA7roLYAMffQ9Yxjs,NA1,ThPzv8oW-vf7IuvvO4NcMupc2xMudFkyyRVCVcV3jNGgoA,/v1/stats/player_history/NA/33361464,7,6,200,51,4,7,false,1055,2010,3031,3086,2015,2422,3340,3,6,2,2,1,1,309,0,0,0,0,0,60055,289,54025,5740,666,6372,239,6133,0,1337,3,2854,3352,3352,7,5,8204,2473,5137,592,6602,5750,0,0,104,0,0,0,15,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,307,0,0,9111,176,100,0,9103,0,0,0,8014,128,0,0,8304,9,0,0,8345,3,0,0,8000,8300,5005,5008,5002,true,false,false,false,NA,NA,6.5,NA,417.9,NA,406,NA,0.6599999999999997,NA,14.23999999999998,NA,622.2,NA,42.26000000000002,NA,DUO_SUPPORT,NONE,Caitlyn,Marksman,3207778936
